seq	don	acc	emm	imm	elen	ilen	cost	fit
ch.1436	54	29	63	51	32	63	20	0
ch.917	48	28	43	76	54	23	29	0
ch.13263	45	29	58	38	54	44	13	39
ch.3817	39	37	65	44	52	42	17	51
ch.8612	54	30	39	39	52	44	48	0
ch.8367	66	22	53	34	30	52	21	2
ch.800	49	34	61	44	55	73	69	0
ch.13939	40	39	58	41	60	59	99	0
ch.5664	48	35	48	30	36	60	9	11
ch.5686	43	66	45	30	42	63	86	1
ch.2488	92	23	55	52	59	55	62	1
ch.7034	72	42	57	62	46	57	40	0
ch.11022	83	46	63	63	54	33	52	0
ch.15120	37	70	74	27	56	81	6	8
ch.7973	41	22	56	42	51	63	22	18
ch.9517	48	37	58	33	28	36	15	1
ch.3688	67	68	51	57	36	48	52	0
ch.10882	51	36	55	30	25	48	12	1
ch.14028	82	58	57	33	5	18	99	0
ch.11937	59	46	55	52	54	73	39	0
ch.8659	42	26	62	39	33	50	17	2
ch.17636	46	27	60	40	34	53	68	0
ch.8683	56	43	61	65	37	57	60	0
ch.17707	64	78	53	33	35	45	72	0
ch.16232	40	38	49	35	20	64	19	28
ch.1140	40	22	53	45	22	59	59	48
ch.6596	45	24	60	41	41	38	14	30
ch.10021	51	48	76	83	44	55	24	3
ch.9207	76	37	52	34	56	53	6	10
ch.12588	55	69	51	74	52	74	10	7
ch.9479	49	32	65	41	42	54	19	1
ch.7745	44	17	55	36	38	46	15	18
ch.17089	42	34	64	40	40	46	13	4
ch.1758	50	33	64	25	40	45	12	0
ch.11743	61	28	71	37	31	57	97	0
ch.559	53	31	61	45	57	45	22	4
ch.5636	61	37	50	63	38	41	91	0
ch.12532	42	26	59	41	49	50	36	2
ch.5011	82	40	78	66	14	61	100	0
ch.12732	73	38	62	56	51	4	94	0
ch.4820	50	36	82	41	58	38	3	36
ch.1376	62	31	65	29	42	61	20	1
ch.10153	52	38	73	41	53	37	26	0
ch.12079	53	33	76	71	35	50	20	4
ch.10141	36	31	54	37	46	57	18	8
ch.9920	49	16	57	48	27	49	14	33
ch.368	46	20	61	52	34	72	24	7
ch.9579	45	26	57	38	46	45	21	2
